Date,Account,Category,Subcategory,Note,INR,Income/Expense,Note.1,Amount,Currency,Account.1
1/18/2022 17:10,CUB - online payment,Food,,Snack with preethi,59.0,Expense,,59.0,INR,59.0
1/18/2022 13:51,CUB - online payment,Food,,Lunch with company,148.0,Expense,,148.0,INR,148.0
1/18/2022 12:59,CUB - online payment,Other,,To kumara,200.0,Expense,,200.0,INR,200.0
1/18/2022 12:59,CUB - online payment,Other,,From dad,1000.0,Income,,1000.0,INR,1000.0
1/17/2022 18:31,CUB - online payment,Food,,Eve snack,100.0,Expense,,100.0,INR,100.0
1/15/2022 21:17,CUB - online payment,Transportation,,Bus to Bangalore,1365.0,Expense,,1365.0,INR,1365.0
1/15/2022 21:16,CUB - online payment,Other,,From dad,1500.0,Income,,1500.0,INR,1500.0
1/15/2022 21:16,CUB - online payment,Food,,Snacks,70.0,Expense,,70.0,INR,70.0
1/14/2022 16:58,CUB - online payment,Other,,Kumara,170.0,Income,,170.0,INR,170.0
1/14/2022 16:56,CUB - online payment,Other,,Siva + 100 cash,70.0,Income,,70.0,INR,70.0
1/14/2022 16:56,CUB - online payment,Other,,Gundan + prasanna,340.0,Income,,340.0,INR,340.0
1/14/2022 16:55,CUB - online payment,Other,,Dinesh and maddy + 100 cash,240.0,Income,,240.0,INR,240.0
1/14/2022 16:54,CUB - online payment,Other,,From gowdham,340.0,Income,,340.0,INR,340.0
1/14/2022 16:54,CUB - online payment,Food,,Lunch pongal,1530.0,Expense,,1530.0,INR,1530.0
1/13/2022 20:46,CUB - online payment,Food,,Dinner,66.0,Expense,,66.0,INR,66.0
1/13/2022 19:10,CUB - online payment,Other,,From dad,1000.0,Income,,1000.0,INR,1000.0
1/13/2022 17:47,CUB - online payment,Transportation,,Rapido to pg,43.0,Expense,,43.0,INR,43.0
1/12/2022 22:44,CUB - online payment,Other,,Recharge by gowdham,479.0,Expense,,479.0,INR,479.0
1/12/2022 13:25,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75,INR,301.75
1/12/2022 13:25,CUB - online payment,Other,,From kumara,200.0,Income,,200.0,INR,200.0
1/11/2022 14:07,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5,INR,135.5
1/10/2022 14:04,CUB - online payment,Food,,Friday snacks with preethi gang,106.0,Expense,,106.0,INR,106.0
1/8/2022 13:46,CUB - online payment,Other,,From gowdham,260.0,Income,,260.0,INR,260.0
1/8/2022 13:45,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3,INR,535.3
1/8/2022 13:38,CUB - online payment,Household,,Rent,4580.0,Expense,,4580.0,INR,4580.0
1/7/2022 13:51,CUB - online payment,Food,,Coffee + biscuit,15.0,Expense,,15.0,INR,15.0
1/6/2022 21:30,CUB - online payment,Other,,From barath and shakur,440.0,Income,,440.0,INR,440.0
1/6/2022 20:58,CUB - online payment,Food,,Ketch up,20.0,Expense,,20.0,INR,20.0
1/6/2022 20:13,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81,INR,877.81
1/6/2022 14:22,CUB - online payment,Food,,Bingo,10.0,Expense,,10.0,INR,10.0
1/6/2022 11:48,CUB - online payment,Transportation,,Rapido to pg,42.0,Expense,,42.0,INR,42.0
1/5/2022 20:23,CUB - online payment,Food,,McDonald's with company,211.0,Expense,,211.0,INR,211.0
1/5/2022 14:46,CUB - online payment,Other,,Lended money returned to vishnu,40.0,Expense,,40.0,INR,40.0
1/5/2022 14:42,CUB - online payment,Other,,Lended money returned to kumara,30.0,Expense,,30.0,INR,30.0
1/5/2022 14:42,CUB - online payment,Food,,Jan 2nd with shakur and barath,354.0,Expense,,354.0,INR,354.0
1/5/2022 14:39,CUB - online payment,Other,,To gobi 1st 1/4th,500.0,Expense,,500.0,INR,500.0
1/5/2022 14:37,CUB - online payment,Other,,To abijith and to vicky lend money returned,500.0,Expense,,500.0,INR,500.0
1/5/2022 14:35,CUB - online payment,Transportation,,Refund for bus ticket,60.0,Expense,,60.0,INR,60.0
1/5/2022 14:30,CUB - online payment,Food,,Lunch with company,388.0,Expense,,388.0,INR,388.0
1/4/2022 22:11,CUB - online payment,Education,,Arrear and reval fee,1400.0,Expense,,1400.0,INR,1400.0
1/4/2022 13:53,CUB - online payment,Food,,Lunch with company,106.0,Expense,,106.0,INR,106.0
1/4/2022 8:01,CUB - online payment,Other,,To vicky,80.0,Expense,,80.0,INR,80.0
1/4/2022 7:58,CUB - online payment,Food,,Sent to preethi,107.0,Expense,,107.0,INR,107.0
1/3/2022 22:15,CUB - online payment,Food,,Dairy milk,10.0,Expense,,10.0,INR,10.0
1/3/2022 21:54,CUB - online payment,Other,,From barath,201.0,Income,,201.0,INR,201.0
1/3/2022 21:12,CUB - online payment,Other,,From gpay,5.0,Income,,5.0,INR,5.0
1/3/2022 21:11,CUB - online payment,Other,,From shakur,140.0,Income,,140.0,INR,140.0
1/3/2022 14:31,CUB - online payment,Food,,Lunch unlimited nv,300.0,Expense,,300.0,INR,300.0
1/3/2022 14:30,CUB - online payment,Other,,From abi,300.0,Income,,300.0,INR,300.0
1/2/2022 20:33,CUB - online payment,Other,,Tablet to gowdham,8.0,Expense,,8.0,INR,8.0
1/2/2022 20:32,CUB - online payment,Food,,Dinner with barath,200.0,Expense,,200.0,INR,200.0
1/2/2022 14:16,CUB - online payment,Transportation,,Train to vnr,725.0,Expense,,725.0,INR,725.0
1/1/2022 21:46,CUB - online payment,Food,,Snacks,85.0,Expense,,85.0,INR,85.0
1/1/2022 21:45,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0
12/30/2021 14:10,CUB - online payment,Food,,To barath,20.0,Expense,,20.0,INR,20.0
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43.0,Expense,,43.0,INR,43.0
12/30/2021 13:36,CUB - online payment,Other,,From kumara,30.0,Income,,30.0,INR,30.0
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25.0,Expense,,25.0,INR,25.0
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199.0,Expense,,199.0,INR,199.0
12/30/2021 12:37,CUB - online payment,Other,,From Deepak,250.0,Income,,250.0,INR,250.0
12/30/2021 11:45,CUB - online payment,Food,,Water,20.0,Expense,,20.0,INR,20.0
12/30/2021 11:45,CUB - online payment,Other,,From abi,20.0,Income,,20.0,INR,20.0
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286.0,Expense,,286.0,INR,286.0
12/30/2021 11:44,CUB - online payment,Other,,From Deepak,250.0,Income,,250.0,INR,250.0
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14.0,Expense,,14.0,INR,14.0
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115.0,Expense,,115.0,INR,115.0
12/27/2021 13:44,CUB - online payment,Other,,From vicky,80.0,Income,,80.0,INR,80.0
12/27/2021 12:33,CUB - online payment,Other,,From ganesan,40.0,Income,,40.0,INR,40.0
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50.0,Expense,,50.0,INR,50.0
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504.0,Expense,,504.0,INR,504.0
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306.0,Expense,,306.0,INR,306.0
12/25/2021 17:01,CUB - online payment,Food,,Corn,30.0,Expense,,30.0,INR,30.0
12/25/2021 15:35,CUB - online payment,Food,,Water,30.0,Expense,,30.0,INR,30.0
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40.0,Expense,,40.0,INR,40.0
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150.0,Expense,,150.0,INR,150.0
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262.0,Expense,,262.0,INR,262.0
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15.0,Expense,,15.0,INR,15.0
12/23/2021 13:51,CUB - online payment,Food,,Puffs and coffee,32.0,Expense,,32.0,INR,32.0
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239.0,Expense,,239.0,INR,239.0
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25.0,Expense,,25.0,INR,25.0
12/21/2021 11:43,CUB - online payment,Food,,Bun,18.0,Expense,,18.0,INR,18.0
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80.0,Expense,,80.0,INR,80.0
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80.0,Expense,,80.0,INR,80.0
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20.0,Expense,,20.0,INR,20.0
12/20/2021 15:29,CUB - online payment,Food,,Water,20.0,Expense,,20.0,INR,20.0
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85.0,Expense,,85.0,INR,85.0
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40.0,Expense,,40.0,INR,40.0
12/19/2021 15:51,CUB - online payment,Other,,To siva,100.0,Expense,,100.0,INR,100.0
12/18/2021 21:01,CUB - online payment,Other,,To kumara,100.0,Expense,,100.0,INR,100.0
12/18/2021 21:01,CUB - online payment,Other,,To abijith,200.0,Expense,,200.0,INR,200.0
12/18/2021 21:00,CUB - online payment,Food,,To rahul,113.0,Expense,,113.0,INR,113.0
12/18/2021 21:00,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0
12/18/2021 19:52,CUB - online payment,Other,,Lended money,400.0,Income,,400.0,INR,400.0
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72,INR,363.72
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160.0,Expense,,160.0,INR,160.0
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70.0,Expense,,70.0,INR,70.0
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110.0,Expense,,110.0,INR,110.0
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50.0,Expense,,50.0,INR,50.0
12/16/2021 18:44,CUB - online payment,Food,,Egg,30.0,Expense,,30.0,INR,30.0
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20.0,Expense,,20.0,INR,20.0
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30.0,Expense,,30.0,INR,30.0
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110.0,Expense,,110.0,INR,110.0
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40.0,Expense,,40.0,INR,40.0
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75.0,Expense,,75.0,INR,75.0
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80.0,Expense,,80.0,INR,80.0
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74.0,Expense,,74.0,INR,74.0
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65.0,Expense,,65.0,INR,65.0
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0
12/11/2021 8:20,CUB - online payment,Other,,From stu,240.0,Income,,240.0,INR,240.0
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241.0,Expense,,241.0,INR,241.0
12/10/2021 20:55,CUB - online payment,Food,,Momos,195.0,Expense,,195.0,INR,195.0
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40.0,Expense,,40.0,INR,40.0
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280.0,Expense,,280.0,INR,280.0
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110.0,Expense,,110.0,INR,110.0
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100.0,Expense,,100.0,INR,100.0
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15.0,USD,15.0
12/8/2021 7:17,CUB - online payment,Food,,Milk,10.0,Expense,,10.0,INR,10.0
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15.0,Expense,,15.0,INR,15.0
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500.0,Expense,,500.0,INR,500.0
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140.0,Expense,,140.0,INR,140.0
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150.0,Expense,,150.0,INR,150.0
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800.0,Expense,,1800.0,INR,1800.0
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800.0,Expense,,4800.0,INR,4800.0
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000.0,Income,,8000.0,INR,8000.0
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324.0,Expense,,324.0,INR,324.0
12/4/2021 20:20,CUB - online payment,Food,,Snack,65.0,Expense,,65.0,INR,65.0
12/4/2021 13:54,CUB - online payment,Other,,For company,30.0,Expense,,30.0,INR,30.0
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200.0,Expense,,200.0,INR,200.0
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25.0,Expense,,25.0,INR,25.0
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130.0,Expense,,130.0,INR,130.0
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20.0,Expense,,20.0,INR,20.0
12/3/2021 21:28,CUB - online payment,Food,,Snack,40.0,Expense,,40.0,INR,40.0
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000.0,Income,,1000.0,INR,1000.0
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504.0,Expense,,504.0,INR,504.0
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75.0,Expense,,75.0,INR,75.0
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196.0,Expense,,196.0,INR,196.0
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160.0,Expense,,160.0,INR,160.0
11/30/2021 14:24,CUB - online payment,Gift,,Bharath birthday,115.0,Expense,,115.0,INR,115.0
11/30/2021 14:17,CUB - online payment,Food,,Lunch with company,128.0,Expense,,128.0,INR,128.0
11/30/2021 10:11,CUB - online payment,Food,,Breakfast,70.0,Expense,,70.0,INR,70.0
11/29/2021 20:47,CUB - online payment,Food,,Lunch with company,40.0,Expense,,40.0,INR,40.0
11/29/2021 20:47,CUB - online payment,Food,,Dinner,50.0,Expense,,50.0,INR,50.0
11/29/2021 20:09,CUB - online payment,Food,,Panipoori,40.0,Expense,,40.0,INR,40.0
11/29/2021 9:29,CUB - online payment,Food,,Breakfast,40.0,Expense,,40.0,INR,40.0
11/28/2021 19:59,CUB - online payment,Food,,Snack,94.0,Expense,,94.0,INR,94.0
11/28/2021 13:10,CUB - online payment,Food,,Zomato,269.4,Expense,,269.4,INR,269.4
11/27/2021 23:14,CUB - online payment,Food,,Dinner with gowdham,120.0,Expense,,120.0,INR,120.0
11/27/2021 22:34,CUB - online payment,Food,,Dinner with gowdham,130.0,Expense,,130.0,INR,130.0
11/27/2021 18:41,CUB - online payment,Transportation,,Rapido,35.0,Expense,,35.0,INR,35.0
11/27/2021 13:46,CUB - online payment,Food,,Lunch with company,75.0,Expense,,75.0,INR,75.0
11/27/2021 13:46,CUB - online payment,Allowance,,From dad,2000.0,Income,,2000.0,INR,2000.0
11/27/2021 9:33,CUB - online payment,Food,,Breakfast,30.0,Expense,,30.0,INR,30.0
11/26/2021 21:56,CUB - online payment,Food,,Beer,150.0,Expense,,150.0,INR,150.0
11/26/2021 20:57,CUB - online payment,Food,,Snack,102.0,Expense,,102.0,INR,102.0
11/26/2021 20:15,CUB - online payment,Food,,Panipoori,40.0,Expense,,40.0,INR,40.0
11/26/2021 14:14,CUB - online payment,Food,,Lunch with company,150.0,Expense,,150.0,INR,150.0
11/26/2021 9:22,CUB - online payment,Food,,Breakfast,60.0,Expense,,60.0,INR,60.0
11/25/2021 20:27,CUB - online payment,Food,,Lunch with company,145.0,Expense,,145.0,INR,145.0
11/25/2021 20:27,CUB - online payment,Transportation,,Rapido,58.0,Expense,,58.0,INR,58.0
11/25/2021 20:27,CUB - online payment,Food,,Dinner,95.0,Expense,,95.0,INR,95.0
11/24/2021 19:26,CUB - online payment,Food,,Snack,15.0,Expense,,15.0,INR,15.0
11/24/2021 19:23,CUB - online payment,Food,,Dinner,70.0,Expense,,70.0,INR,70.0
11/24/2021 19:06,CUB - online payment,Food,,Panipoori,20.0,Expense,,20.0,INR,20.0
11/24/2021 19:06,CUB - online payment,Transportation,,Rapido,58.0,Expense,,58.0,INR,58.0
11/23/2021 22:53,CUB - online payment,Transportation,,Rapido,50.0,Expense,,50.0,INR,50.0
11/23/2021 22:53,CUB - online payment,Food,,Dinner,179.0,Expense,,179.0,INR,179.0
11/22/2021 14:16,CUB - online payment,Food,,Dinner,90.0,Expense,,90.0,INR,90.0
11/22/2021 14:16,CUB - online payment,Food,,Lunch with company,97.0,Expense,,97.0,INR,97.0
11/21/2021 17:07,CUB - online payment,Transportation,,Rapido,130.0,Expense,,130.0,INR,130.0
11/21/2021 15:50,CUB - online payment,Food,,Lunch,875.0,Expense,,875.0,INR,875.0
11/21/2021 13:30,CUB - online payment,Other,,Got from gobi,2000.0,Income,,2000.0,INR,2000.0
,,Food,,Groceries for the week,,,,,,
,,Social Life,,Dinner with friends,,,,,,
,,Transportation,,Gasoline refill,,,,,,
,,Apparel,,New shoes,,,,,,
,,Household,,Monthly rent,,,,,,
,,Education,,Cooking class fee,,,,,,
,,Allowance,,Weekly pocket money,,,,,,
,,Education,,Yoga class membership,,,,,,
,,Beauty,,Haircut,,,,,,
,,Gift,,Birthday present for a friend,,,,,,
,,Social Life,,Lunch with coworkers,,,,,,
,,Household,,New kitchen appliances,,,,,,
,,Education,,Textbooks for upcoming semester,,,,,,
,,Household,,Electricity bill payment,,,,,,
,,Social Life,,Movie ticket,,,,,,
,,Other,,Donation to charity,,,,,,
,,Education,,Subscription to online learning platform,,,,,,
,,Food,,Dining out,,,,,,
,,Transportation,,Car maintenance,,,,,,
,,Other,,Monthly savings deposit,,,,,,
,,Beauty,,New skincare products,,,,,,
,,Other,,Emergency fund withdrawal,,,,,,
